Item Name,Brand,Price,Store,Nominal
Acétaminophène 325 mg,Tylenol,18.99 / ch.,BRUNET,18.99
Acétaminophène 500 mg,Tylenol,10.99 / ch.,PHARMAPRIX,10.99
Acétaminophène 500 mg,Tylenol,8.99 / ch.,BRUNET,8.99
Acétaminophène Complet,Tylenol,12.29 / ch.,BRUNET,12.29
Acétaminophène Complet,Tylenol,15.99 / ch.,PHARMAPRIX,15.99
Acétaminophène Douleurs Arthritiques,Tylenol,13.99 / ch.,JEAN COUTU,13.99
Acétaminophène Douleurs Arthritiques 650 mg,Tylenol,22.99 / ch.,BRUNET,22.99
Acétaminophène Douleurs Arthritiques 650 mg,Tylenol,24.99 / ch.,FAMILIPRIX,24.99
Acétaminophène Extra-Fort,Tylenol,13.99 / ch.,JEAN COUTU,13.99
Acétaminophène Grippe,Tylenol,8.29 / ch.,FAMILIPRIX,8.29
Acétaminophène Grippe,Tylenol,8.49 / ch.,UNIPRIX,8.49
Acétaminophène Grippe,Tylenol,8.99 / ch.,JEAN COUTU,8.99
Acétaminophène Gélules À Action Rapide,Tylenol,16.49 / ch.,BRUNET,16.49
Acétaminophène Mal de dos,Tylenol,12.99 / ch.,JEAN COUTU,12.99
Acétaminophène Mal de dos,Tylenol,22.99 / ch.,BRUNET,22.99
Acétaminophène Mal de dos extra-fort,Tylenol,24.99 / ch.,FAMILIPRIX,24.99
Acétaminophène Muscles et Corps 650 mg,Tylenol,24.99 / ch.,FAMILIPRIX,24.99
Acétaminophène Nuit,Tylenol,10.99 / ch.,PHARMAPRIX,10.99
Acétaminophène Nuit,Tylenol,19.49 / ch.,FAMILIPRIX,19.49
Acétaminophène Nuit,Tylenol,8.99 / ch.,BRUNET,8.99
Acétaminophène Rhume,Tylenol,12.29 / ch.,BRUNET,12.29
Acétaminophène Rhume,Tylenol,16.99 / ch.,PHARMAPRIX,16.99
Acétaminophène Rhume,Tylenol,8.29 / ch.,FAMILIPRIX,8.29
Acétaminophène Rhume,Tylenol,8.49 / ch.,UNIPRIX,8.49
Acétaminophène Rhume,Tylenol,8.99 / ch.,JEAN COUTU,8.99
Acétaminophène Rhume et sinus,Tylenol,12.29 / ch.,BRUNET,12.29
Acétaminophène Rhume et sinus,Tylenol,16.99 / ch.,PHARMAPRIX,16.99
Acétaminophène Rhume et sinus,Tylenol,8.29 / ch.,FAMILIPRIX,8.29
Acétaminophène Rhume et sinus,Tylenol,8.49 / ch.,UNIPRIX,8.49
Acétaminophène Rhume et sinus,Tylenol,8.99 / ch.,JEAN COUTU,8.99
Acétaminophène Sinus,Tylenol,12.29 / ch.,BRUNET,12.29
Acétaminophène Sinus,Tylenol,16.99 / ch.,PHARMAPRIX,16.99
Acétaminophène Sinus,Tylenol,8.29 / ch.,FAMILIPRIX,8.29
Acétaminophène Sinus,Tylenol,8.49 / ch.,UNIPRIX,8.49
Acétaminophène Sinus,Tylenol,8.99 / ch.,JEAN COUTU,8.99
Acétaminophène Soulagement Ultra,Tylenol,12.99 / ch.,JEAN COUTU,12.99
Acétaminophène Soulagement Ultra,Tylenol,18.99 / ch.,BRUNET,18.99
Acétaminophène pour enfants,Tylenol,7.79 / ch.,JEAN COUTU,7.79
Acétaminophène pour enfants Sirop,Tylenol,7.99 / ch.,UNIPRIX,7.99
Agent de rinçage Jet Dry,Finish,14.88 / ch.,METRO,14.88
Aide à réduire les douleurs articulaires Formule originale,Genacol,24.99 / ch.,UNIPRIX,24.99
Aide à réduire les douleurs articulaires Optimum,Genacol,24.99 / ch.,UNIPRIX,24.99
Aiglefin pané à l’anglaise surgelé,High Liner,13.49 / ch.,PHARMAPRIX,13.49
Ailes de poulet surgelées,Sans nom,13.00 / ch.,PROVIGO,13.0
Ailes de poulet surgelées,Pinty's,15.99 / ch.,IGA,15.99
Ailes de poulet surgelées,Flamingo,9.99 / ch.,METRO,9.99
Aliment biologique,Le Choix du Président,1.00 / ch.,MAXI,1.0
Aliments biologiques,Gerber,4.99 / ch.,FAMILIPRIX,4.99
Allergies Reactine Extra fort,Reactine,22.99 / ch.,UNIPRIX,22.99
Allergies Reactine Régulier,Reactine,22.99 / ch.,UNIPRIX,22.99
Alouettes de boeuf farcies Metrogo!,---,9.99 / lb,METRO,9.99
Alouettes de poulet farcies Metrogo!,---,9.99 / lb,METRO,9.99
Amandes naturelles entières,Irrésistible,14.99 / ch.,SUPER C,14.99
Amuse-gueule,Humpty Dumpty,3.00 / ch.,MAXI,3.0
Amuse-gueule,Cheetos,3.99 / ch.,MAXI,3.99
Anana tropical gold,---,2.99 / ch.,SUPER C,2.99
Ananas Du Costa Rica,---,4.00 / ch.,MAXI,4.0
Antipasto Splendido,Le Choix du Président,5.99 / ch.,PHARMAPRIX,5.99
Antisudorifique en vaporisateur,Degree,6.49 / ch.,BRUNET,6.49
Antisudorifique en vaporisateur,Degree,6.99 / ch.,PHARMAPRIX,6.99
Antisudorifique en vaporisateur,Dove,6.99 / ch.,PHARMAPRIX,6.99
Antisudorifique en vaporisateur,Old Spice,6.99 / ch.,UNIPRIX,6.99
Antisudorifique en vaporisateur Degree Men,Degree,6.49 / ch.,BRUNET,6.49
Antisudorifique en vaporisateur Degree Men,Degree,6.99 / ch.,PHARMAPRIX,6.99
Antisudorifique et désodorisant en vaporisateur sec,Secret,6.99 / ch.,PHARMAPRIX,6.99
Antisudorifique et désodorisant en vaporisateur sec Dry Shield,Gillette,6.99 / ch.,PHARMAPRIX,6.99
Antisudorifique ou déodorant,Lady Speed Stick,2.99 / ch.,BRUNET,2.99
Antisudorifique ou déodorant,Lady Speed Stick,2.99 / ch.,PHARMAPRIX,2.99
